,Concept URI,Concept notation,Concept notation,Concept label,,,,,,
ethicalIssue0042,http://www.w3.org/ethical_list/eao-skos#AcountabiityAnimalRigthAndAnimalWelfareCapabilities,Capabilities,Capabilities,Capabilities,,,"Life, Bodily health, Bodily integraty, Senses, Imagination and thougth, Emotions, Practical reason, Afiliation, Other species, Play, Control over one's enviroment",Justice,http://data.europa.eu/ett/kos/c_0ae7875e,
ethicalIssue0043,http://www.w3.org/ethical_list/eao-skos#InformedconsetOtherBasicHumanRightLife,Life,Life,Life,,,,Capabilities,,
ethicalIssue0044,http://www.w3.org/ethical_list/eao-skos#PainAndSufferingResponsabilityRightToEngageInPeacfulProtestBodilyHealth,BodilyHealth,Bodily health,Bodily health,,,,Capabilities,,
ethicalIssue0045,http://www.w3.org/ethical_list/eao-skos#RightHumanDignityRigthToHaveAFairTrialBodilyIntegraty,BodilyIntegraty,Bodily integraty,Bodily integraty,,,,Capabilities,,
ethicalIssue0046,http://www.w3.org/ethical_list/eao-skos#FreedomPrivacyRigthToLifeSenses,Senses,Senses,Senses,,,,Capabilities,,
ethicalIssue0047,http://www.w3.org/ethical_list/eao-skos#FreedomOfAssemblyInformationPrivacyRigthToPracticeOne'SReligionImaginationAndThougth,ImaginationAndThougth,Imagination and thougth,Imagination and thougth,,,,Capabilities,,
ethicalIssue0048,http://www.w3.org/ethical_list/eao-skos#FreedomOfMovementBodilyPrivacyRigthToPursueHappinessEmotions,Emotions,Emotions,Emotions,,,,Capabilities,,
ethicalIssue0049,http://www.w3.org/ethical_list/eao-skos#FreedomOfSpechAndExpressionRelationalPrivacyRigthToReceiveAnEducationPracticalReason,PracticalReason,Practical reason,Practical reason,,,,Capabilities,,
ethicalIssue0050,http://www.w3.org/ethical_list/eao-skos#FredomOfSpeechAndExpresionPropertyRigthToSeekAsylumAfiliation,Afiliation,Afiliation,Afiliation,,,,Capabilities,,
ethicalIssue0051,http://www.w3.org/ethical_list/eao-skos#AutonomyIntelectualPropertyRigthsRigthToVoteOtherSpecies,OtherSpecies,Other species,Other species,,,,Capabilities,,
ethicalIssue0052,http://www.w3.org/ethical_list/eao-skos#AbilityToMakeOne'SThoughtsAndFormOne'SOwnOpinionsRigthToPropertyJusticePlay,Play,Play,Play,,,,Capabilities,,
ethicalIssue0053,http://www.w3.org/ethical_list/eao-skos#AcountabiityAnimalRigthAndAnimalWelfareCapabilitiesControlOverOne'SEnviroment,ControlOverOne'SEnviroment,Control over one's enviroment,Control over one's enviroment,,,,Capabilities,,
ethicalIssue0054,http://www.w3.org/ethical_list/eao-skos#InformedconsetOtherBasicHumanRightLifeGlobalJustice,GlobalJustice,Global justice,Global justice,,,,Justice,,
ethicalIssue0055,http://www.w3.org/ethical_list/eao-skos#PainAndSufferingResponsabilityRightToEngageInPeacfulProtestBodilyHealthIntegrationalJustice,IntegrationalJustice,Integrational justice,Integrational justice,,,,Justice,,
ethicalIssue0056,http://www.w3.org/ethical_list/eao-skos#RightHumanDignityRigthToHaveAFairTrialBodilyIntegratyJustDistribution,JustDistribution,Just distribution,Just distribution,,,"Just distributive of primary goods, Risk and hazards",Justice,,
ethicalIssue0057,http://www.w3.org/ethical_list/eao-skos#FreedomPrivacyRigthToLifeSensesJustDistributiveOfPrimaryGoods,JustDistributiveOfPrimaryGoods,Just distributive of primary goods,Just distributive of primary goods,,,,Just distribution,,
ethicalIssue0058,http://www.w3.org/ethical_list/eao-skos#FreedomOfAssemblyInformationPrivacyRigthToPracticeOne'SReligionImaginationAndThougthRiskAndHazards,RiskAndHazards,Risk and hazards,Risk and hazards,,,,Just distribution,,
ethicalIssue0059,http://www.w3.org/ethical_list/eao-skos#FreedomOfMovementBodilyPrivacyRigthToPursueHappinessEmotionsNonDiscriminationAndEqualTreatment,NonDiscriminationAndEqualTreatment,Non discrimination and equal treatment,Non discrimination and equal treatment,,,"Discrimination or inequality related to age, Discrimination oR inequality related to disability, Discrimination oR inequality related to ethinicity, Discrimination oR inequality related to gender, Discrimination oR inequality related to race or ethinicity, Discrimination oR inequality related to relegion, Discrimination oR inequality related to sexual orientation, Discrimination oR inequality related to social class",Justice,https://w3id.org/dpv/dpv-owl/rights/eu#A21-NonDiscrimination,
ethicalIssue0060,http://www.w3.org/ethical_list/eao-skos#FreedomOfSpechAndExpressionRelationalPrivacyRigthToReceiveAnEducationPracticalReasonDiscriminationOrInequalityRelatedToAge,DiscriminationOrInequalityRelatedToAge,Discrimination or inequality related to age,Discrimination or inequality related to age,,,,Non discrimination and equal treatment,http://data.europa.eu/8mn/euroscivoc/46fb9b5a-8493-4b52-86a4-43b7ba7d2387,
ethicalIssue0061,http://www.w3.org/ethical_list/eao-skos#FredomOfSpeechAndExpresionPropertyRigthToSeekAsylumAfiliationDiscriminationOrInequalityRelatedToDisability,DiscriminationOrInequalityRelatedToDisability,Discrimination oR inequality related to disability,Discrimination oR inequality related to disability,,,,Non discrimination and equal treatment,,
ethicalIssue0062,http://www.w3.org/ethical_list/eao-skos#AutonomyIntelectualPropertyRigthsRigthToVoteOtherSpeciesDiscriminationOrInequalityRelatedToEthinicity,DiscriminationOrInequalityRelatedToEthinicity,Discrimination oR inequality related to ethinicity,Discrimination oR inequality related to ethinicity,,,,Non discrimination and equal treatment,,
ethicalIssue0063,http://www.w3.org/ethical_list/eao-skos#AbilityToMakeOne'SThoughtsAndFormOne'SOwnOpinionsRigthToPropertyJusticePlayDiscriminationOrInequalityRelatedToGender,DiscriminationOrInequalityRelatedToGender,Discrimination oR inequality related to gender,Discrimination oR inequality related to gender,,,,Non discrimination and equal treatment,,http://data.europa.eu/8mn/euroscivoc/ba914e3a-d949-4377-9dec-172842c43011
ethicalIssue0064,http://www.w3.org/ethical_list/eao-skos#AcountabiityAnimalRigthAndAnimalWelfareCapabilitiesControlOverOne'SEnviromentDiscriminationOrInequalityRelatedToRaceOrEthinicity,DiscriminationOrInequalityRelatedToRaceOrEthinicity,Discrimination oR inequality related to race or ethinicity,Discrimination oR inequality related to race or ethinicity,,,,Non discrimination and equal treatment,,http://data.europa.eu/8mn/euroscivoc/d7211835-274b-43bc-9917-59caa1768b8f
ethicalIssue0065,http://www.w3.org/ethical_list/eao-skos#InformedconsetOtherBasicHumanRightLifeGlobalJusticeDiscriminationOrInequalityRelatedToRelegion,DiscriminationOrInequalityRelatedToRelegion,Discrimination oR inequality related to relegion,Discrimination oR inequality related to relegion,,,,Non discrimination and equal treatment,,
ethicalIssue0066,http://www.w3.org/ethical_list/eao-skos#PainAndSufferingResponsabilityRightToEngageInPeacfulProtestBodilyHealthIntegrationalJusticeDiscriminationOrInequalityRelatedToSexualOrientation,DiscriminationOrInequalityRelatedToSexualOrientation,Discrimination oR inequality related to sexual orientation,Discrimination oR inequality related to sexual orientation,,,,Non discrimination and equal treatment,,
ethicalIssue0067,http://www.w3.org/ethical_list/eao-skos#RightHumanDignityRigthToHaveAFairTrialBodilyIntegratyJustDistributionDiscriminationOrInequalityRelatedToSocialClass,DiscriminationOrInequalityRelatedToSocialClass,Discrimination oR inequality related to social class,Discrimination oR inequality related to social class,,,,Non discrimination and equal treatment,,http://data.europa.eu/8mn/euroscivoc/e7b9a22b-8915-4a56-a5e4-b2670cf2fd6f
ethicalIssue0068,http://www.w3.org/ethical_list/eao-skos#FreedomPrivacyRigthToLifeSensesJustDistributiveOfPrimaryGoodsPowerAsymmetrie,PowerAsymmetrie,Power asymmetrie,Power asymmetrie,,,,Justice,,
ethicalIssue0069,http://www.w3.org/ethical_list/eao-skos#FreedomOfAssemblyInformationPrivacyRigthToPracticeOne'SReligionImaginationAndThougthRiskAndHazardsSociaIinclusion,SociaIinclusion,Socia iInclusion,Socia iInclusion,,,,Justice,,
ethicalIssue0070,http://www.w3.org/ethical_list/eao-skos#FreedomOfMovementBodilyPrivacyRigthToPursueHappinessEmotionsNonDiscriminationAndEqualTreatmentWellbeingAndCommonGood,WellbeingAndCommonGood,Wellbeing and common good,Wellbeing and common good,,,"Supportive of culture and culture diversity, Supportive of democracy and democratic institution, Supportive of institutions and structure that are vital, Supportive of happiness and self-development",,,
ethicalIssue0071,http://www.w3.org/ethical_list/eao-skos#FreedomOfSpechAndExpressionRelationalPrivacyRigthToReceiveAnEducationPracticalReasonDiscriminationOrInequalityRelatedToAgeSupportiveOfCultureAndCultureDiversity,SupportiveOfCultureAndCultureDiversity,Supportive of culture and culture diversity,Supportive of culture and culture diversity,,,,Wellbeing and common good,,
ethicalIssue0072,http://www.w3.org/ethical_list/eao-skos#FredomOfSpeechAndExpresionPropertyRigthToSeekAsylumAfiliationDiscriminationOrInequalityRelatedToDisabilitySupportiveOfDemocracyAndDemocraticInstitution,SupportiveOfDemocracyAndDemocraticInstitution,Supportive of democracy and democratic institution,Supportive of democracy and democratic institution,,,,Wellbeing and common good,,
ethicalIssue0073,http://www.w3.org/ethical_list/eao-skos#AutonomyIntelectualPropertyRigthsRigthToVoteOtherSpeciesDiscriminationOrInequalityRelatedToEthinicitySupportiveOfInstitutionsAndStructureThatAreVital,SupportiveOfInstitutionsAndStructureThatAreVital,Supportive of institutions and structure that are vital,Supportive of institutions and structure that are vital,,,,Wellbeing and common good,,
ethicalIssue0074,http://www.w3.org/ethical_list/eao-skos#AbilityToMakeOne'SThoughtsAndFormOne'SOwnOpinionsRigthToPropertyJusticePlayDiscriminationOrInequalityRelatedToGenderSupportiveOfHappinessAndSelf-Development,SupportiveOfHappinessAndSelf-Development,Supportive of happiness and self-development,Supportive of happiness and self-development,,,"Supportive of happiness, Supportive of health, Supportive of knowledge, Supportive of wisdom, Supportive of intelectual virtue, Supportive of frindship, Supportive of trust, Supportive of achievement, Supportive of desire-Fulfillment, Supportive of transcendentMeaning",Wellbeing and common good,,
ethicalIssue0075,http://www.w3.org/ethical_list/eao-skos#AcountabiityAnimalRigthAndAnimalWelfareCapabilitiesControlOverOne'SEnviromentDiscriminationOrInequalityRelatedToRaceOrEthinicitySupportiveOfHappiness,SupportiveOfHappiness,Supportive of happiness,Supportive of happiness,,,,Supportive of happiness and self-development,,
ethicalIssue0076,http://www.w3.org/ethical_list/eao-skos#InformedconsetOtherBasicHumanRightLifeGlobalJusticeDiscriminationOrInequalityRelatedToRelegionSupportiveOfHealth,SupportiveOfHealth,Supportive of health,Supportive of health,,,,Supportive of happiness and self-development,,Article 35-Health care
ethicalIssue0077,http://www.w3.org/ethical_list/eao-skos#PainAndSufferingResponsabilityRightToEngageInPeacfulProtestBodilyHealthIntegrationalJusticeDiscriminationOrInequalityRelatedToSexualOrientationSupportiveOfKnowledge,SupportiveOfKnowledge,Supportive of knowledge,Supportive of knowledge,,,,Supportive of happiness and self-development,,
ethicalIssue0078,http://www.w3.org/ethical_list/eao-skos#RightHumanDignityRigthToHaveAFairTrialBodilyIntegratyJustDistributionDiscriminationOrInequalityRelatedToSocialClassSupportiveOfWisdom,SupportiveOfWisdom,Supportive of wisdom,Supportive of wisdom,,,,Supportive of happiness and self-development,,
ethicalIssue0079,http://www.w3.org/ethical_list/eao-skos#SupportiveOfIntelectualVirtue,SupportiveOfIntelectualVirtue,Supportive of intelectual virtue,Supportive of intelectual virtue,,,,Supportive of happiness and self-development,,
ethicalIssue0080,http://www.w3.org/ethical_list/eao-skos#SupportiveOfFrindship,SupportiveOfFrindship,Supportive of frindship,Supportive of frindship,,,,Supportive of happiness and self-development,,
ethicalIssue0081,http://www.w3.org/ethical_list/eao-skos#SupportiveOfTrust,SupportiveOfTrust,Supportive of trust,Supportive of trust,,,,Supportive of happiness and self-development,,
ethicalIssue0082,http://www.w3.org/ethical_list/eao-skos#SupportiveOfAchievement,SupportiveOfAchievement,Supportive of achievement,Supportive of achievement,,,,Supportive of happiness and self-development,,
ethicalIssue0083,http://www.w3.org/ethical_list/eao-skos#SupportiveOfDesire-Fulfillment,SupportiveOfDesire-Fulfillment,Supportive of desire-Fulfillment,Supportive of desire-Fulfillment,,,,Supportive of happiness and self-development,,
ethicalIssue0084,http://www.w3.org/ethical_list/eao-skos#SupportiveOfTranscendentmeaning,SupportiveOfTranscendentmeaning,Supportive of transcendentMeaning,Supportive of transcendentMeaning,,,,Supportive of happiness and self-development,,
